,project,specification,descriptor,version,coordinate,frame,extension,filename,filepath,file_error,file_traits,asset_name,asset_path,asset_type,asset_traits,asset_error,asset_valid,width,width_error,filepath_relative,asset_path_relative
0,proj001,spec001,pizza,1,"[0, 1]",1,png,p-proj001_s-spec001_d-pizza_v001_c0000-0001_f0001.png,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001/p-proj001_s-spec001_d-pizza_v001_c0000-0001_f0001.png,,"{'project': 'proj001', 'specification': 'spec001', 'descriptor': 'pizza', 'version': 1, 'coordinate': [0, 1], 'frame': 1, 'extension': 'png'}",p-proj001_s-spec001_d-pizza_v001,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001,sequence,"{'project': ['proj001', 'proj001', 'proj001'], 'specification': ['spec001', 'spec001', 'spec001'], 'descriptor': ['pizza', 'pizza', 'pizza'], 'version': [1, 1, 1], 'coordinate': [[0, 1], [0, 1], [0, 1]], 'frame': [1, 2, 3], 'extension': ['png', 'png', 'png']}",,True,,,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001/p-proj001_s-spec001_d-pizza_v001_c0000-0001_f0001.png,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001
1,proj001,spec001,pizza,1,"[0, 1]",2,png,p-proj001_s-spec001_d-pizza_v001_c0000-0001_f0002.png,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001/p-proj001_s-spec001_d-pizza_v001_c0000-0001_f0002.png,,"{'project': 'proj001', 'specification': 'spec001', 'descriptor': 'pizza', 'version': 1, 'coordinate': [0, 1], 'frame': 2, 'extension': 'png'}",p-proj001_s-spec001_d-pizza_v001,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001,sequence,"{'project': ['proj001', 'proj001', 'proj001'], 'specification': ['spec001', 'spec001', 'spec001'], 'descriptor': ['pizza', 'pizza', 'pizza'], 'version': [1, 1, 1], 'coordinate': [[0, 1], [0, 1], [0, 1]], 'frame': [1, 2, 3], 'extension': ['png', 'png', 'png']}",,True,,,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001/p-proj001_s-spec001_d-pizza_v001_c0000-0001_f0002.png,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001
2,proj001,spec001,pizza,1,"[0, 1]",3,png,p-proj001_s-spec001_d-pizza_v001_c0000-0001_f0003.png,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001/p-proj001_s-spec001_d-pizza_v001_c0000-0001_f0003.png,,"{'project': 'proj001', 'specification': 'spec001', 'descriptor': 'pizza', 'version': 1, 'coordinate': [0, 1], 'frame': 3, 'extension': 'png'}",p-proj001_s-spec001_d-pizza_v001,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001,sequence,"{'project': ['proj001', 'proj001', 'proj001'], 'specification': ['spec001', 'spec001', 'spec001'], 'descriptor': ['pizza', 'pizza', 'pizza'], 'version': [1, 1, 1], 'coordinate': [[0, 1], [0, 1], [0, 1]], 'frame': [1, 2, 3], 'extension': ['png', 'png', 'png']}",,True,,,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001/p-proj001_s-spec001_d-pizza_v001_c0000-0001_f0003.png,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v001
3,proj001,spec001,pizza,2,"[0, 0]",1,png,p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0001.png,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0001.png,,"{'project': 'proj001', 'specification': 'spec001', 'descriptor': 'pizza', 'version': 2, 'coordinate': [0, 0], 'frame': 1, 'extension': 'png'}",p-proj001_s-spec001_d-pizza_v002,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002,sequence,"{'project': ['proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001'], 'specification': ['spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001'], 'descriptor': ['pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza'], 'version': [2, 2, 2, 2, 2, 2, 2, 2], 'coordinate': [[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1]], 'frame': [1, 2, 3, 4, 1, 2, 3, 4], 'extension': ['png', 'png', 'png', 'png', 'png', 'png', 'png', 'png']}",,True,,,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0001.png,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002
4,proj001,spec001,pizza,2,"[0, 0]",2,png,p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0002.png,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0002.png,,"{'project': 'proj001', 'specification': 'spec001', 'descriptor': 'pizza', 'version': 2, 'coordinate': [0, 0], 'frame': 2, 'extension': 'png'}",p-proj001_s-spec001_d-pizza_v002,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002,sequence,"{'project': ['proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001'], 'specification': ['spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001'], 'descriptor': ['pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza'], 'version': [2, 2, 2, 2, 2, 2, 2, 2], 'coordinate': [[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1]], 'frame': [1, 2, 3, 4, 1, 2, 3, 4], 'extension': ['png', 'png', 'png', 'png', 'png', 'png', 'png', 'png']}",,True,,,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0002.png,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002
5,proj001,spec001,pizza,2,"[0, 0]",3,png,p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0003.png,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0003.png,,"{'project': 'proj001', 'specification': 'spec001', 'descriptor': 'pizza', 'version': 2, 'coordinate': [0, 0], 'frame': 3, 'extension': 'png'}",p-proj001_s-spec001_d-pizza_v002,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002,sequence,"{'project': ['proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001'], 'specification': ['spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001'], 'descriptor': ['pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza'], 'version': [2, 2, 2, 2, 2, 2, 2, 2], 'coordinate': [[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1]], 'frame': [1, 2, 3, 4, 1, 2, 3, 4], 'extension': ['png', 'png', 'png', 'png', 'png', 'png', 'png', 'png']}",,True,,,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0003.png,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002
6,proj001,spec001,pizza,2,"[0, 0]",4,png,p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0004.png,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0004.png,,"{'project': 'proj001', 'specification': 'spec001', 'descriptor': 'pizza', 'version': 2, 'coordinate': [0, 0], 'frame': 4, 'extension': 'png'}",p-proj001_s-spec001_d-pizza_v002,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002,sequence,"{'project': ['proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001'], 'specification': ['spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001'], 'descriptor': ['pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza'], 'version': [2, 2, 2, 2, 2, 2, 2, 2], 'coordinate': [[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1]], 'frame': [1, 2, 3, 4, 1, 2, 3, 4], 'extension': ['png', 'png', 'png', 'png', 'png', 'png', 'png', 'png']}",,True,,,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0000_f0004.png,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002
7,proj001,spec001,pizza,2,"[0, 1]",1,png,p-proj001_s-spec001_d-pizza_v002_c0000-0001_f0001.png,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0001_f0001.png,,"{'project': 'proj001', 'specification': 'spec001', 'descriptor': 'pizza', 'version': 2, 'coordinate': [0, 1], 'frame': 1, 'extension': 'png'}",p-proj001_s-spec001_d-pizza_v002,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002,sequence,"{'project': ['proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001'], 'specification': ['spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001'], 'descriptor': ['pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza'], 'version': [2, 2, 2, 2, 2, 2, 2, 2], 'coordinate': [[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1]], 'frame': [1, 2, 3, 4, 1, 2, 3, 4], 'extension': ['png', 'png', 'png', 'png', 'png', 'png', 'png', 'png']}",,True,,,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0001_f0001.png,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002
8,proj001,spec001,pizza,2,"[0, 1]",2,png,p-proj001_s-spec001_d-pizza_v002_c0000-0001_f0002.png,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0001_f0002.png,,"{'project': 'proj001', 'specification': 'spec001', 'descriptor': 'pizza', 'version': 2, 'coordinate': [0, 1], 'frame': 2, 'extension': 'png'}",p-proj001_s-spec001_d-pizza_v002,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002,sequence,"{'project': ['proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001'], 'specification': ['spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001'], 'descriptor': ['pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza'], 'version': [2, 2, 2, 2, 2, 2, 2, 2], 'coordinate': [[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1]], 'frame': [1, 2, 3, 4, 1, 2, 3, 4], 'extension': ['png', 'png', 'png', 'png', 'png', 'png', 'png', 'png']}",,True,,,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0001_f0002.png,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002
9,proj001,spec001,pizza,2,"[0, 1]",3,png,p-proj001_s-spec001_d-pizza_v002_c0000-0001_f0003.png,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0001_f0003.png,,"{'project': 'proj001', 'specification': 'spec001', 'descriptor': 'pizza', 'version': 2, 'coordinate': [0, 1], 'frame': 3, 'extension': 'png'}",p-proj001_s-spec001_d-pizza_v002,/tmp/projects/proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002,sequence,"{'project': ['proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001', 'proj001'], 'specification': ['spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001', 'spec001'], 'descriptor': ['pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza', 'pizza'], 'version': [2, 2, 2, 2, 2, 2, 2, 2], 'coordinate': [[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1]], 'frame': [1, 2, 3, 4, 1, 2, 3, 4], 'extension': ['png', 'png', 'png', 'png', 'png', 'png', 'png', 'png']}",,True,,,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002/p-proj001_s-spec001_d-pizza_v002_c0000-0001_f0003.png,proj001/spec001/pizza/p-proj001_s-spec001_d-pizza_v002
